date,home_team,away_team,home_elo,away_elo
2019-77,FC Lahti,HIFK,1470.4,1484.4
2019-78,IFK Mariehamn,FC Honka,1479.8,1552.8
2019-79,SJK,FC Inter,1488.3,1551.9
2019-8,VPS,FC Inter,1411.3,1565.7
2019-80,HIFK,HJK,1466.9,1543.2
2019-81,FC Inter,FC Lahti,1573.1,1463.1
2019-82,FC Honka,KuPS,1534.1,1584.5
2019-83,KPV,VPS,1423.8,1400.6
2019-84,RoPS,IFK Mariehamn,1450.0,1498.6
2019-85,Ilves,SJK,1581.4,1480.7
2019-86,FC Honka,HIFK,1542.4,1458.6
2019-87,SJK,VPS,1488.5,1392.7
2019-88,FC Lahti,Ilves,1478.9,1565.6
2019-89,IFK Mariehamn,KPV,1506.6,1415.8
2019-9,FC Inter,SJK,1550.8,1510.8
2019-90,Ilves,HJK,1560.6,1548.3
2019-91,KPV,SJK,1400.6,1526.0
2019-92,VPS,FC Lahti,1392.1,1479.5
2019-93,FC Inter,FC Honka,1561.3,1532.0
2019-94,HIFK,RoPS,1469.0,1439.6
2019-95,KuPS,IFK Mariehamn,1577.4,1513.7
2019-96,SJK,FC Lahti,1505.0,1500.5
2019-97,FC Honka,Ilves,1513.9,1578.6
2019-98,HJK,VPS,1538.8,1401.6
2019-99,IFK Mariehamn,HIFK,1492.8,1490.0
