date,home_team,away_team,home_elo,away_elo
2023-1,IFK Mariehamn,Ilves,1495.8,1504.2
2023-10,FC Honka,SJK,1495.8,1504.2
2023-100,FC Haka,FC Lahti,1495.8,1504.2
2023-101,FC Honka,AC Oulu,1506.8,1489.0
2023-102,KuPS,KTP,1510.8,1489.2
2023-103,IFK Mariehamn,FC Inter,1476.8,1519.0
2023-104,Ilves,FC Haka,1484.7,1515.3
2023-105,HJK,IFK Mariehamn,1509.9,1466.9
2023-106,FC Lahti,FC Honka,1515.1,1495.9
2023-107,KTP,FC Inter,1471.2,1537.0
2023-108,VPS,SJK,1511.0,1493.2
2023-109,FC Haka,IFK Mariehamn,1509.3,1472.9
2023-11,VPS,HJK,1491.7,1529.1
2023-110,AC Oulu,FC Lahti,1485.9,1518.2
2023-111,FC Honka,FC Inter,1508.3,1524.5
2023-112,Ilves,KuPS,1466.5,1528.9
2023-113,SJK,KTP,1473.2,1491.3
2023-114,FC Lahti,VPS,1498.0,1512.0
2023-115,IFK Mariehamn,FC Honka,1455.2,1526.1
2023-116,AC Oulu,Ilves,1465.9,1486.5
2023-117,FC Inter,HJK,1505.5,1548.2
2023-118,KuPS,SJK,1537.6,1464.5
2023-119,KTP,FC Haka,1472.8,1527.8
2023-12,IFK Mariehamn,FC Lahti,1437.7,1515.5
2023-120,VPS,KTP,1521.2,1463.5
2023-121,FC Inter,FC Lahti,1516.7,1504.3
2023-122,SJK,IFK Mariehamn,1474.2,1428.0
2023-123,FC Haka,KuPS,1524.0,1541.4
2023-124,FC Honka,Ilves,1535.4,1477.2
2023-125,AC Oulu,HJK,1450.2,1563.9
2023-126,FC Lahti,FC Inter,1485.6,1535.4
2023-127,FC Haka,SJK,1532.9,1465.3
2023-128,FC Inter,AC Oulu,1543.1,1442.5
2023-129,FC Lahti,Ilves,1496.0,1466.7
2023-13,HJK,VPS,1573.1,1512.1
2023-130,HJK,KuPS,1567.7,1546.9
2023-131,IFK Mariehamn,VPS,1412.3,1527.8
2023-132,KTP,FC Honka,1447.3,1551.6
2023-14,KuPS,FC Honka,1527.9,1570.6
2023-15,KTP,IFK Mariehamn,1456.7,1402.8
2023-16,SJK,FC Lahti,1462.4,1499.0
2023-17,KuPS,Ilves,1536.4,1458.2
2023-18,HJK,AC Oulu,1559.1,1451.0
2023-19,FC Haka,FC Honka,1530.2,1573.3
2023-2,KTP,AC Oulu,1437.3,1470.5
2023-20,HJK,FC Haka,1568.8,1520.5
2023-21,AC Oulu,SJK,1450.9,1481.9
2023-22,Ilves,KTP,1468.2,1427.3
2023-23,VPS,FC Honka,1525.4,1575.6
2023-24,IFK Mariehamn,KuPS,1389.3,1549.9
2023-25,FC Haka,KTP,1528.0,1419.9
2023-26,FC Honka,FC Lahti,1583.6,1491.0
2023-27,Ilves,AC Oulu,1448.3,1470.8
2023-28,SJK,FC Inter,1495.2,1529.8
2023-29,VPS,IFK Mariehamn,1531.6,1383.1
2023-3,KuPS,FC Inter,1529.9,1549.8
2023-30,KuPS,HJK,1542.3,1556.4
2023-31,AC Oulu,KuPS,1454.6,1558.5
2023-32,FC Honka,FC Haka,1562.3,1549.3
2023-33,KTP,HJK,1421.5,1554.8
2023-34,FC Lahti,KTP,1484.2,1428.3
2023-35,FC Honka,KuPS,1542.9,1577.9
2023-36,AC Oulu,VPS,1468.6,1517.6
2023-37,HJK,FC Inter,1565.4,1539.2
2023-38,SJK,Ilves,1504.2,1439.3
2023-39,IFK Mariehamn,FC Haka,1401.0,1531.4
2023-4,SJK,FC Haka,1516.1,1519.5
2023-40,KuPS,FC Lahti,1585.3,1476.8
2023-41,Ilves,HJK,1440.5,1564.3
2023-42,AC Oulu,FC Honka,1452.5,1559.0
2023-43,FC Haka,VPS,1515.3,1521.8
2023-44,FC Inter,IFK Mariehamn,1530.2,1409.9
2023-45,KTP,SJK,1412.7,1531.7
2023-46,FC Honka,KTP,1534.9,1436.9
2023-47,FC Inter,FC Haka,1540.4,1505.0
2023-48,FC Lahti,AC Oulu,1456.7,1472.6
2023-49,SJK,KuPS,1544.7,1572.3
2023-5,VPS,FC Lahti,1515.2,1463.3
2023-50,VPS,Ilves,1493.2,1462.4
2023-51,IFK Mariehamn,HJK,1412.2,1562.0
2023-52,FC Inter,FC Honka,1551.0,1524.3
2023-53,AC Oulu,IFK Mariehamn,1481.2,1403.7
2023-54,HJK,SJK,1557.1,1549.6
2023-55,KTP,VPS,1450.0,1480.1
2023-56,KuPS,FC Haka,1580.6,1496.8
2023-57,Ilves,FC Lahti,1458.3,1467.5
2023-58,FC Haka,Ilves,1491.1,1463.9
2023-59,FC Honka,IFK Mariehamn,1530.9,1397.1
2023-6,HJK,FC Honka,1566.9,1521.1
2023-60,FC Inter,KTP,1558.2,1442.8
2023-61,FC Lahti,HJK,1452.4,1581.9
2023-62,KuPS,AC Oulu,1587.8,1473.9
2023-63,SJK,VPS,1557.8,1471.9
2023-64,AC Oulu,FC Inter,1473.3,1558.9
2023-65,Ilves,FC Honka,1462.1,1522.9
2023-66,FC Lahti,FC Haka,1464.8,1478.7
2023-67,HJK,KTP,1587.9,1436.8
2023-68,IFK Mariehamn,SJK,1384.7,1570.2
2023-69,VPS,KuPS,1457.6,1602.1
2023-7,FC Haka,AC Oulu,1474.3,1477.7
2023-70,FC Haka,HJK,1474.9,1587.4
2023-71,FC Honka,VPS,1531.3,1449.2
2023-72,FC Inter,Ilves,1566.2,1454.8
2023-73,KTP,FC Lahti,1448.7,1452.9
2023-74,KuPS,IFK Mariehamn,1576.3,1410.5
2023-75,SJK,AC Oulu,1547.6,1500.2
2023-76,FC Honka,HJK,1529.4,1589.2
2023-77,AC Oulu,FC Haka,1510.0,1465.1
2023-78,Ilves,SJK,1454.5,1547.9
2023-79,VPS,FC Inter,1465.0,1550.5
2023-8,KTP,KuPS,1449.9,1575.1
2023-80,IFK Mariehamn,KTP,1408.0,1452.5
2023-81,FC Lahti,KuPS,1438.8,1589.1
2023-82,HJK,FC Lahti,1565.0,1463.1
2023-83,FC Haka,FC Inter,1464.4,1551.1
2023-84,KTP,Ilves,1448.4,1458.6
2023-85,KuPS,VPS,1565.6,1488.5
2023-86,SJK,FC Honka,1558.0,1519.3
2023-87,IFK Mariehamn,AC Oulu,1393.0,1525.0
2023-88,FC Inter,VPS,1529.5,1510.0
2023-89,Ilves,IFK Mariehamn,1451.9,1399.7
2023-9,Ilves,FC Inter,1466.0,1515.5
2023-90,VPS,AC Oulu,1521.4,1513.6
2023-91,FC Lahti,SJK,1462.9,1558.2
2023-92,FC Inter,KuPS,1513.4,1567.7
2023-93,AC Oulu,KTP,1521.9,1440.0
2023-94,FC Inter,SJK,1496.0,1575.6
2023-95,HJK,Ilves,1572.2,1458.7
2023-96,FC Lahti,IFK Mariehamn,1441.3,1421.3
2023-97,VPS,FC Haka,1530.1,1455.8
2023-98,Ilves,VPS,1442.5,1546.3
2023-99,SJK,HJK,1556.3,1591.6
