date,home_team,away_team,home_elo,away_elo
2022-1,HJK,FC Honka,1510.8,1489.2
2022-10,FC Inter,AC Oulu,1510.8,1489.2
2022-100,IFK Mariehamn,FC Haka,1510.8,1489.2
2022-101,KuPS,FC Honka,1495.4,1493.8
2022-102,AC Oulu,HJK,1485.9,1514.1
2022-103,FC Lahti,HIFK,1495.8,1504.2
2022-104,FC Haka,AC Oulu,1499.9,1475.2
2022-105,FC Inter,VPS,1506.2,1504.6
2022-106,Ilves,FC Honka,1480.6,1513.3
2022-107,KuPS,IFK Mariehamn,1506.8,1499.4
2022-108,HIFK,SJK,1484.8,1519.4
2022-109,SJK,KuPS,1529.7,1496.5
2022-11,HIFK,IFK Mariehamn,1481.2,1503.0
2022-110,VPS,FC Lahti,1485.1,1515.3
2022-111,AC Oulu,FC Inter,1457.3,1524.1
2022-112,FC Haka,HJK,1481.2,1532.8
2022-113,IFK Mariehamn,Ilves,1482.9,1500.6
2022-114,FC Honka,HIFK,1522.8,1471.7
2022-115,FC Lahti,IFK Mariehamn,1494.9,1503.4
2022-116,FC Honka,AC Oulu,1516.2,1463.9
2022-117,Ilves,FC Haka,1480.7,1501.2
2022-118,FC Inter,KuPS,1503.8,1516.8
2022-119,VPS,HIFK,1480.3,1476.4
2022-12,Ilves,KuPS,1462.9,1534.5
2022-120,HJK,SJK,1543.4,1519.0
2022-121,FC Haka,FC Honka,1512.6,1504.8
2022-122,KuPS,Ilves,1527.6,1469.8
2022-123,SJK,VPS,1528.3,1471.0
2022-124,AC Oulu,FC Lahti,1461.0,1497.8
2022-125,IFK Mariehamn,FC Inter,1484.2,1523.0
2022-126,HJK,HIFK,1551.7,1468.1
2022-127,FC Honka,HJK,1487.5,1569.0
2022-128,FC Lahti,FC Haka,1479.2,1531.2
2022-129,HIFK,AC Oulu,1448.6,1480.5
2022-13,KuPS,SJK,1538.5,1517.5
2022-130,IFK Mariehamn,SJK,1496.3,1505.3
2022-131,Ilves,FC Inter,1467.8,1525.0
2022-132,VPS,KuPS,1454.6,1554.9
2022-14,FC Inter,FC Haka,1506.1,1550.2
2022-15,AC Oulu,Ilves,1475.8,1472.5
2022-16,HIFK,FC Lahti,1430.7,1497.2
2022-17,IFK Mariehamn,FC Honka,1491.8,1492.1
2022-18,VPS,HJK,1440.3,1583.4
2022-19,FC Haka,HIFK,1556.8,1424.0
2022-2,FC Haka,Ilves,1564.5,1464.8
2022-20,FC Lahti,KuPS,1480.4,1571.7
2022-21,HJK,FC Inter,1561.3,1528.1
2022-22,Ilves,VPS,1474.6,1430.4
2022-23,IFK Mariehamn,AC Oulu,1502.0,1465.6
2022-24,FC Honka,SJK,1503.4,1494.0
2022-25,HIFK,HJK,1410.6,1574.7
2022-26,AC Oulu,FC Haka,1480.5,1549.5
2022-27,FC Inter,IFK Mariehamn,1537.9,1492.2
2022-28,FC Lahti,FC Honka,1462.1,1521.7
2022-29,Ilves,SJK,1486.2,1482.4
2022-3,KuPS,FC Inter,1581.2,1528.4
2022-30,KuPS,VPS,1586.9,1424.7
2022-31,FC Inter,HJK,1511.1,1592.0
2022-32,SJK,FC Lahti,1462.4,1482.1
2022-33,AC Oulu,HIFK,1473.7,1417.4
2022-34,FC Haka,VPS,1526.0,1448.2
2022-35,FC Honka,FC Inter,1532.0,1500.7
2022-36,HJK,Ilves,1599.0,1479.2
2022-37,IFK Mariehamn,KuPS,1492.0,1587.1
2022-38,FC Lahti,HJK,1482.8,1598.3
2022-39,KuPS,FC Haka,1595.6,1517.5
2022-4,SJK,HIFK,1471.5,1408.4
2022-40,AC Oulu,FC Honka,1486.9,1518.8
2022-41,VPS,SJK,1430.0,1489.8
2022-42,FC Inter,HIFK,1493.2,1415.9
2022-43,Ilves,IFK Mariehamn,1490.5,1480.6
2022-44,AC Oulu,KuPS,1472.3,1610.3
2022-45,FC Haka,SJK,1512.2,1495.0
2022-46,HJK,FC Lahti,1605.0,1476.1
2022-47,VPS,FC Inter,1413.4,1509.8
2022-48,FC Honka,Ilves,1513.5,1495.8
2022-49,SJK,IFK Mariehamn,1505.3,1470.4
2022-5,VPS,AC Oulu,1411.6,1474.1
2022-50,FC Lahti,AC Oulu,1456.8,1493.4
2022-51,HJK,FC Haka,1612.5,1504.8
2022-52,HIFK,KuPS,1404.9,1621.3
2022-53,AC Oulu,SJK,1504.6,1494.0
2022-54,FC Haka,FC Lahti,1498.7,1462.8
2022-55,FC Inter,Ilves,1505.0,1500.5
2022-56,HIFK,FC Honka,1390.3,1528.2
2022-57,KuPS,HJK,1616.7,1617.0
2022-58,IFK Mariehamn,VPS,1449.0,1433.0
2022-59,FC Haka,IFK Mariehamn,1507.7,1440.1
2022-6,IFK Mariehamn,FC Lahti,1436.8,1466.1
2022-60,FC Honka,KuPS,1542.7,1602.2
2022-61,HJK,AC Oulu,1593.9,1527.8
2022-62,Ilves,FC Lahti,1510.0,1456.7
2022-63,SJK,FC Inter,1490.2,1508.8
2022-64,HIFK,VPS,1372.8,1450.5
2022-65,FC Inter,FC Lahti,1517.6,1447.8
2022-66,Ilves,HIFK,1486.1,1396.7
2022-67,KuPS,AC Oulu,1610.3,1519.8
2022-68,SJK,FC Haka,1486.7,1511.2
2022-69,VPS,FC Honka,1435.1,1558.0
2022-7,FC Honka,FC Haka,1567.0,1502.1
