date,home_team,away_team,home_elo,away_elo
2016-1,HJK,IFK Mariehamn,1510.8,1489.2
2016-10,KuPS,PK-35 Vantaa,1480.8,1519.2
2016-100,PK-35 Vantaa,IFK Mariehamn,1498.8,1509.6
2016-101,HIFK,VPS,1480.8,1519.2
2016-102,SJK,FC Lahti,1510.8,1489.2
2016-103,HJK,PK-35 Vantaa,1521.1,1488.5
2016-104,Ilves,PS Kemi,1495.8,1504.2
2016-105,RoPS,HIFK,1510.0,1470.8
2016-106,IFK Mariehamn,FC Inter,1505.0,1504.6
2016-107,VPS,KuPS,1528.5,1471.5
2016-108,HIFK,SJK,1468.2,1513.4
2016-109,PS Kemi,VPS,1501.0,1531.7
2016-11,RoPS,HJK,1506.3,1524.9
2016-110,FC Inter,HJK,1501.2,1528.3
2016-111,FC Lahti,IFK Mariehamn,1485.6,1508.6
2016-112,KuPS,RoPS,1468.7,1509.1
2016-113,PK-35 Vantaa,Ilves,1484.6,1499.7
2016-114,PS Kemi,PK-35 Vantaa,1511.1,1474.4
2016-115,Ilves,FC Inter,1495.6,1505.3
2016-116,SJK,KuPS,1522.5,1459.6
2016-117,HJK,FC Lahti,1522.4,1491.5
2016-118,IFK Mariehamn,HIFK,1487.8,1488.9
2016-119,RoPS,VPS,1520.8,1520.0
2016-12,SJK,IFK Mariehamn,1501.9,1508.3
2016-120,FC Inter,PK-35 Vantaa,1499.9,1479.8
2016-121,FC Lahti,Ilves,1502.4,1484.6
2016-122,HIFK,HJK,1486.1,1525.3
2016-123,KuPS,IFK Mariehamn,1472.4,1495.5
2016-124,RoPS,PS Kemi,1531.2,1500.7
2016-125,VPS,SJK,1530.1,1491.8
2016-126,Ilves,HIFK,1495.5,1475.2
2016-127,PK-35 Vantaa,FC Lahti,1476.6,1505.7
2016-128,PS Kemi,FC Inter,1511.5,1489.2
2016-129,SJK,RoPS,1504.2,1518.8
2016-13,PS Kemi,IFK Mariehamn,1491.7,1515.4
2016-130,VPS,IFK Mariehamn,1510.3,1535.1
2016-131,HJK,KuPS,1504.1,1493.6
2016-132,PS Kemi,RoPS,1503.6,1506.9
2016-133,SJK,Ilves,1514.7,1485.0
2016-134,FC Lahti,FC Inter,1485.9,1509.0
2016-135,IFK Mariehamn,HIFK,1543.7,1466.7
2016-136,KuPS,PK-35 Vantaa,1503.7,1466.4
2016-137,VPS,HJK,1505.9,1508.5
2016-138,HJK,PK-35 Vantaa,1517.7,1457.2
