date,home_team,away_team,home_elo,away_elo
2024-1,IF Gnistan,FC Inter,1510.8,1489.2
2024-10,FC Inter,AC Oulu,1485.4,1503.8
2024-100,FC Haka,IF Gnistan,1481.2,1529.6
2024-101,EIF,KuPS,1480.8,1519.2
2024-102,VPS,IFK Mariehamn,1510.8,1489.2
2024-103,FC Inter,IFK Mariehamn,1496.4,1478.3
2024-104,FC Lahti,HJK,1510.8,1489.2
2024-105,AC Oulu,Ilves,1484.4,1519.4
2024-106,EIF,FC Haka,1461.6,1500.4
2024-107,IF Gnistan,VPS,1539.6,1500.7
2024-108,KuPS,SJK,1529.2,1490.0
2024-109,FC Lahti,EIF,1519.7,1452.7
2024-11,Ilves,IF Gnistan,1501.0,1558.0
2024-110,AC Oulu,FC Inter,1495.7,1485.1
2024-111,Ilves,IFK Mariehamn,1510.9,1468.3
2024-112,FC Haka,KuPS,1497.4,1532.3
2024-113,SJK,VPS,1501.2,1489.5
2024-114,FC Inter,SJK,1496.5,1489.7
2024-115,EIF,HJK,1435.0,1506.9
2024-116,IF Gnistan,AC Oulu,1566.5,1487.2
2024-117,KuPS,Ilves,1542.2,1500.9
2024-118,IFK Mariehamn,FC Lahti,1466.3,1521.8
2024-119,VPS,FC Haka,1500.6,1486.3
2024-12,IFK Mariehamn,KuPS,1465.2,1543.3
2024-120,IF Gnistan,IFK Mariehamn,1573.6,1458.1
2024-121,AC Oulu,FC Haka,1468.0,1505.5
2024-122,Ilves,EIF,1509.3,1426.6
2024-123,HJK,FC Inter,1517.3,1486.2
2024-124,KuPS,IFK Mariehamn,1551.0,1450.4
2024-125,FC Lahti,VPS,1516.8,1505.6
2024-126,SJK,IF Gnistan,1474.0,1589.3
2024-127,EIF,SJK,1424.4,1476.3
2024-128,FC Haka,FC Lahti,1501.8,1520.5
2024-129,IF Gnistan,Ilves,1582.2,1516.4
2024-13,FC Inter,KuPS,1484.6,1552.5
2024-130,IFK Mariehamn,AC Oulu,1461.9,1456.5
2024-131,KuPS,FC Inter,1530.7,1506.4
2024-132,VPS,HJK,1486.9,1536.0
2024-14,SJK,Ilves,1488.7,1504.0
2024-15,HJK,IFK Mariehamn,1544.1,1453.8
2024-16,FC Lahti,FC Haka,1515.6,1506.7
2024-17,VPS,IF Gnistan,1501.7,1567.4
2024-18,EIF,AC Oulu,1421.5,1459.4
2024-19,SJK,HJK,1486.8,1546.0
2024-2,FC Haka,VPS,1487.3,1521.1
2024-20,FC Inter,EIF,1514.1,1413.8
2024-21,FC Haka,HJK,1485.5,1547.8
2024-22,FC Lahti,KuPS,1497.0,1549.3
2024-23,AC Oulu,VPS,1442.7,1537.8
2024-24,IF Gnistan,SJK,1545.2,1509.0
2024-25,IFK Mariehamn,Ilves,1436.7,1521.1
2024-26,VPS,FC Lahti,1547.0,1487.8
2024-27,Ilves,AC Oulu,1529.0,1434.8
2024-28,HJK,EIF,1539.0,1422.6
2024-29,SJK,KuPS,1506.4,1551.9
2024-3,IFK Mariehamn,EIF,1446.9,1412.4
2024-30,IF Gnistan,FC Haka,1523.8,1507.0
2024-31,IFK Mariehamn,FC Inter,1460.5,1500.5
2024-32,KuPS,VPS,1562.5,1536.4
2024-33,FC Haka,SJK,1517.7,1495.7
2024-34,AC Oulu,IF Gnistan,1434.3,1524.3
2024-35,FC Inter,HJK,1482.9,1556.6
2024-36,EIF,Ilves,1398.1,1543.3
2024-37,FC Lahti,IFK Mariehamn,1497.5,1450.8
2024-38,AC Oulu,IFK Mariehamn,1430.8,1454.3
2024-39,HJK,VPS,1536.6,1556.4
2024-4,Ilves,FC Lahti,1537.3,1503.5
2024-40,SJK,FC Inter,1505.9,1472.6
2024-41,Ilves,FC Haka,1547.4,1507.7
2024-42,IF Gnistan,KuPS,1521.6,1565.1
2024-43,EIF,FC Lahti,1398.3,1503.2
2024-44,HJK,IF Gnistan,1546.8,1511.4
2024-45,VPS,KuPS,1537.5,1584.0
2024-46,Ilves,FC Inter,1555.4,1464.5
2024-47,FC Haka,AC Oulu,1515.7,1422.8
2024-48,HJK,Ilves,1543.0,1559.3
2024-49,IFK Mariehamn,IF Gnistan,1452.5,1513.3
2024-5,SJK,AC Oulu,1513.7,1415.1
2024-50,KuPS,EIF,1588.8,1393.5
2024-51,FC Lahti,SJK,1484.4,1532.5
2024-52,VPS,FC Inter,1545.6,1456.4
2024-53,FC Inter,FC Haka,1469.7,1502.4
2024-54,Ilves,KuPS,1541.3,1606.8
2024-55,SJK,IFK Mariehamn,1510.3,1474.6
2024-56,AC Oulu,HJK,1431.3,1526.8
2024-57,IF Gnistan,FC Lahti,1522.9,1474.8
2024-58,EIF,VPS,1380.7,1558.4
2024-59,FC Haka,IFK Mariehamn,1512.1,1464.9
2024-6,KuPS,HJK,1614.7,1518.9
2024-60,FC Lahti,FC Inter,1455.4,1489.1
2024-61,VPS,Ilves,1553.5,1546.1
2024-62,HJK,SJK,1529.4,1499.9
2024-63,EIF,IF Gnistan,1397.5,1506.1
2024-64,KuPS,AC Oulu,1619.6,1426.4
2024-65,AC Oulu,FC Lahti,1423.4,1458.4
2024-66,FC Inter,Ilves,1472.2,1563.0
2024-67,IFK Mariehamn,VPS,1464.4,1554.0
2024-68,KuPS,FC Haka,1596.6,1535.2
2024-69,SJK,EIF,1507.0,1390.4
2024-7,HJK,FC Lahti,1537.5,1450.2
2024-70,IF Gnistan,HJK,1488.2,1555.4
2024-71,EIF,IFK Mariehamn,1374.3,1480.5
2024-72,FC Haka,FC Inter,1528.6,1478.8
2024-73,FC Lahti,IF Gnistan,1447.6,1490.8
2024-74,HJK,KuPS,1567.9,1584.1
2024-75,Ilves,SJK,1556.7,1513.3
2024-76,VPS,AC Oulu,1545.3,1432.1
2024-77,FC Inter,VPS,1492.4,1531.7
2024-78,AC Oulu,KuPS,1449.3,1566.9
2024-79,SJK,FC Haka,1524.7,1517.2
2024-8,FC Haka,EIF,1523.1,1368.3
2024-80,FC Lahti,Ilves,1448.0,1556.3
2024-81,IF Gnistan,EIF,1467.4,1391.8
2024-82,IFK Mariehamn,HJK,1465.0,1583.5
2024-83,Ilves,HJK,1568.2,1571.6
2024-84,VPS,EIF,1507.8,1415.8
