date,home_team,away_team,home_elo,away_elo
2015-1,FC Inter,SJK,1495.8,1504.2
2015-10,FC Lahti,IFK Mariehamn,1480.8,1519.2
2015-100,FF Jaro,VPS,1510.8,1489.2
2015-101,Ilves,KuPS,1510.8,1489.2
2015-102,SJK,FC KTP,1514.8,1489.4
2015-103,FC Inter,IFK Mariehamn,1492.5,1522.5
2015-104,FC Lahti,Ilves,1492.8,1498.8
2015-105,IFK Mariehamn,FF Jaro,1532.8,1500.5
2015-106,KuPS,FC Inter,1485.1,1496.6
2015-107,SJK,HIFK,1525.0,1489.8
2015-108,VPS,RoPS,1485.4,1503.8
2015-109,FF Jaro,HIFK,1480.8,1509.4
2015-11,FF Jaro,SJK,1463.4,1542.4
2015-110,HJK,FC KTP,1510.4,1479.0
2015-111,FC Inter,FC Lahti,1477.3,1512.2
2015-112,Ilves,SJK,1496.4,1544.8
2015-113,RoPS,IFK Mariehamn,1500.7,1535.8
2015-114,HIFK,Ilves,1504.7,1501.1
2015-115,SJK,FC Inter,1523.1,1499.0
2015-116,FC Lahti,FF Jaro,1506.1,1469.5
2015-117,KuPS,RoPS,1496.6,1489.3
2015-118,FC KTP,VPS,1475.0,1489.4
2015-119,FF Jaro,SJK,1482.5,1510.1
2015-12,HIFK,HJK,1500.7,1514.4
2015-120,Ilves,FC KTP,1510.9,1465.3
2015-121,KuPS,HIFK,1507.5,1489.8
2015-122,RoPS,FC Lahti,1470.8,1524.6
2015-123,VPS,IFK Mariehamn,1502.1,1523.1
2015-124,FC Inter,Ilves,1480.3,1529.6
2015-125,HJK,FC Lahti,1525.6,1513.4
2015-126,IFK Mariehamn,FC KTP,1501.7,1486.6
2015-127,RoPS,SJK,1483.2,1497.7
2015-128,VPS,KuPS,1498.1,1511.5
2015-129,FC Lahti,VPS,1508.6,1502.9
2015-13,Ilves,FC KTP,1523.7,1492.5
2015-130,Ilves,FF Jaro,1533.0,1473.3
2015-131,HIFK,RoPS,1485.3,1487.7
2015-132,FC KTP,FC Inter,1502.8,1469.9
2015-133,KuPS,IFK Mariehamn,1506.9,1506.3
2015-134,RoPS,Ilves,1485.3,1535.3
2015-135,FF Jaro,FC Inter,1469.0,1474.3
2015-136,IFK Mariehamn,FC Lahti,1487.2,1527.7
2015-137,KuPS,FC KTP,1502.6,1507.2
2015-138,VPS,SJK,1483.5,1517.1
2015-139,HJK,HIFK,1519.8,1491.0
2015-14,KuPS,VPS,1512.6,1473.4
2015-140,SJK,KuPS,1527.7,1502.0
2015-141,VPS,FC Lahti,1486.5,1514.7
2015-142,FC Inter,RoPS,1485.5,1474.1
2015-143,FC KTP,FF Jaro,1516.5,1459.6
2015-144,FC Lahti,KuPS,1525.0,1491.7
2015-145,HIFK,VPS,1501.7,1475.9
2015-146,Ilves,HJK,1545.5,1509.6
2015-147,SJK,IFK Mariehamn,1537.0,1478.0
2015-148,FC Lahti,FC KTP,1535.5,1506.0
2015-149,HJK,FC Inter,1489.5,1505.7
2015-15,RoPS,FC Inter,1456.2,1523.6
2015-150,IFK Mariehamn,HIFK,1489.7,1489.9
2015-151,KuPS,SJK,1489.3,1539.3
2015-152,RoPS,FF Jaro,1452.1,1463.7
2015-153,VPS,Ilves,1489.6,1531.8
2015-154,SJK,FC Lahti,1535.0,1539.8
2015-155,FF Jaro,HJK,1460.5,1492.6
2015-156,Ilves,IFK Mariehamn,1511.0,1510.5
2015-157,FC Inter,VPS,1518.1,1495.1
2015-158,FC KTP,RoPS,1484.8,1473.3
2015-159,HIFK,KuPS,1470.7,1508.6
2015-16,FF Jaro,Ilves,1473.4,1498.1
