date,home_team,away_team,home_elo,away_elo
2018-1,VPS,FC Inter,1510.8,1489.2
2018-10,Ilves,KuPS,1510.8,1489.2
2018-100,PS Kemi,VPS,1481.2,1529.6
2018-101,FC Inter,KuPS,1470.0,1508.4
2018-102,HJK,PS Kemi,1510.1,1471.2
2018-103,RoPS,Ilves,1511.2,1499.6
2018-104,SJK,FC Lahti,1510.8,1489.2
2018-105,VPS,TPS,1539.2,1490.3
2018-106,IFK Mariehamn,FC Honka,1480.8,1519.2
2018-107,TPS,PS Kemi,1500.4,1461.1
2018-108,FC Lahti,FC Inter,1469.2,1490.0
2018-109,FC Honka,VPS,1500.8,1557.6
2018-11,PS Kemi,FC Inter,1443.1,1508.0
2018-110,SJK,RoPS,1521.6,1500.4
2018-111,FC Inter,SJK,1519.3,1510.3
2018-112,HJK,TPS,1520.5,1490.0
2018-113,PS Kemi,FC Honka,1441.3,1502.6
2018-114,FC Honka,TPS,1512.9,1479.7
2018-115,RoPS,SJK,1511.6,1499.1
2018-116,FC Lahti,IFK Mariehamn,1480.5,1469.5
2018-117,Ilves,PS Kemi,1508.2,1432.7
2018-118,KuPS,VPS,1491.2,1574.8
2018-119,RoPS,FC Inter,1492.7,1538.2
2018-12,TPS,SJK,1461.3,1517.5
2018-120,FC Honka,HJK,1494.0,1539.4
2018-121,PS Kemi,KuPS,1445.9,1478.0
2018-122,IFK Mariehamn,SJK,1482.3,1504.7
2018-123,TPS,Ilves,1444.0,1525.4
2018-124,VPS,FC Lahti,1567.2,1488.1
2018-125,SJK,VPS,1503.1,1568.8
2018-126,FC Inter,IFK Mariehamn,1546.9,1473.6
2018-127,HJK,RoPS,1533.4,1498.7
2018-128,FC Lahti,PS Kemi,1482.3,1451.7
2018-129,Ilves,FC Honka,1520.0,1499.4
2018-13,KuPS,RoPS,1459.6,1517.1
2018-130,KuPS,TPS,1469.8,1433.8
2018-131,FC Honka,TPS,1507.8,1425.5
2018-132,VPS,SJK,1547.1,1524.8
2018-133,FC Lahti,FC Inter,1480.8,1548.4
2018-134,KuPS,PS Kemi,1479.9,1441.6
2018-135,RoPS,IFK Mariehamn,1526.2,1464.5
2018-136,TPS,VPS,1441.4,1531.2
2018-137,FC Inter,KuPS,1526.7,1501.7
2018-138,HJK,PS Kemi,1525.9,1449.2
2018-139,IFK Mariehamn,FC Honka,1462.1,1510.2
2018-14,SJK,HJK,1505.6,1545.0
2018-140,FC Lahti,RoPS,1463.4,1543.5
2018-141,SJK,Ilves,1487.0,1538.6
2018-142,VPS,IFK Mariehamn,1524.4,1468.8
2018-143,FC Honka,FC Lahti,1519.2,1454.4
2018-144,FC Inter,RoPS,1523.2,1547.1
2018-145,Ilves,TPS,1545.9,1434.1
2018-146,PS Kemi,SJK,1446.5,1489.6
2018-147,KuPS,HJK,1484.2,1562.5
2018-148,Ilves,IFK Mariehamn,1523.9,1490.9
2018-149,FC Lahti,VPS,1453.1,1525.7
2018-15,FC Inter,TPS,1500.7,1456.5
2018-150,RoPS,FC Honka,1556.8,1509.5
2018-151,TPS,PS Kemi,1466.9,1436.1
2018-152,SJK,KuPS,1470.2,1503.7
2018-153,HJK,FC Inter,1570.9,1492.2
2018-154,IFK Mariehamn,Ilves,1473.0,1541.8
2018-155,FC Inter,VPS,1489.4,1528.6
2018-156,HJK,IFK Mariehamn,1578.2,1465.7
2018-157,Ilves,FC Honka,1521.3,1530.0
2018-158,KuPS,FC Lahti,1512.5,1444.3
2018-159,SJK,TPS,1480.9,1456.3
2018-16,FC Lahti,Ilves,1458.3,1507.3
2018-160,PS Kemi,RoPS,1422.0,1570.9
2018-161,FC Honka,PS Kemi,1536.9,1415.0
2018-162,FC Lahti,HJK,1444.1,1592.3
2018-163,RoPS,KuPS,1564.5,1518.9
