date,home_team,away_team,home_elo,away_elo
2017-1,HJK,VPS,1510.8,1489.2
2017-10,HIFK,JJK,1495.8,1504.2
2017-100,JJK,SJK,1484.8,1519.4
2017-101,VPS,FC Inter,1500.4,1488.8
2017-102,HIFK,KuPS,1476.8,1519.0
2017-103,IFK Mariehamn,HIFK,1494.9,1481.9
2017-104,FC Inter,Ilves,1485.0,1503.8
2017-105,KuPS,FC Lahti,1514.1,1504.9
2017-106,HJK,PS Kemi,1521.2,1489.6
2017-107,RoPS,SJK,1481.6,1537.8
2017-108,VPS,JJK,1495.6,1489.6
2017-109,FC Lahti,IFK Mariehamn,1515.3,1484.5
2017-11,IFK Mariehamn,HJK,1481.8,1523.9
2017-110,Ilves,VPS,1499.2,1500.1
2017-111,PS Kemi,FC Inter,1500.2,1474.4
2017-112,HJK,HIFK,1533.1,1472.7
2017-113,JJK,RoPS,1485.1,1486.1
2017-114,SJK,KuPS,1547.7,1504.2
2017-115,FC Inter,HIFK,1485.1,1462.0
2017-116,Ilves,JJK,1509.5,1474.9
2017-117,KuPS,RoPS,1514.3,1476.0
2017-118,HJK,FC Lahti,1528.2,1520.2
2017-119,IFK Mariehamn,SJK,1480.3,1549.1
2017-12,KuPS,FC Inter,1524.0,1475.5
2017-120,VPS,PS Kemi,1495.9,1504.4
2017-121,HIFK,VPS,1474.1,1483.8
2017-122,PS Kemi,Ilves,1500.4,1513.5
2017-123,FC Lahti,FC Inter,1529.3,1466.4
2017-124,KuPS,JJK,1532.9,1466.0
2017-125,RoPS,IFK Mariehamn,1487.0,1469.3
2017-126,SJK,HJK,1529.1,1548.2
2017-127,JJK,PS Kemi,1478.2,1488.2
2017-128,FC Inter,SJK,1449.8,1545.7
2017-129,HJK,RoPS,1526.7,1508.5
2017-13,RoPS,VPS,1488.3,1503.9
2017-130,IFK Mariehamn,KuPS,1482.8,1519.5
2017-131,Ilves,HIFK,1522.8,1464.8
2017-132,VPS,FC Lahti,1485.8,1547.5
2017-133,HIFK,RoPS,1476.6,1476.6
2017-134,PS Kemi,FC Inter,1467.6,1470.5
2017-135,SJK,FC Lahti,1556.6,1536.6
2017-136,JJK,HJK,1461.0,1543.9
2017-137,KuPS,IFK Mariehamn,1528.9,1473.4
2017-138,VPS,Ilves,1483.1,1525.5
2017-139,FC Lahti,PS Kemi,1514.9,1489.3
2017-14,FC Inter,IFK Mariehamn,1466.4,1477.5
2017-140,Ilves,HIFK,1534.4,1467.7
2017-141,RoPS,FC Inter,1487.0,1456.0
2017-142,SJK,JJK,1533.9,1483.6
2017-143,HJK,KuPS,1554.1,1518.6
2017-144,IFK Mariehamn,VPS,1488.5,1472.0
2017-145,FC Inter,Ilves,1455.0,1535.3
2017-146,JJK,FC Lahti,1465.7,1532.8
2017-147,RoPS,PS Kemi,1467.9,1508.4
2017-148,HIFK,IFK Mariehamn,1464.3,1491.9
2017-149,KuPS,SJK,1530.1,1522.5
2017-15,Ilves,RoPS,1513.6,1489.6
2017-150,VPS,HJK,1456.3,1569.9
2017-151,Ilves,RoPS,1523.5,1479.7
2017-152,PS Kemi,JJK,1487.6,1486.5
2017-153,FC Lahti,KuPS,1528.5,1534.4
2017-154,SJK,VPS,1530.8,1447.9
2017-155,HJK,HIFK,1576.9,1457.3
2017-156,IFK Mariehamn,FC Inter,1501.2,1445.7
2017-157,HIFK,JJK,1454.3,1489.5
2017-158,Ilves,HJK,1506.5,1593.9
2017-159,RoPS,SJK,1462.6,1547.9
2017-16,PS Kemi,SJK,1500.9,1534.6
2017-160,VPS,KuPS,1432.4,1550.0
2017-161,IFK Mariehamn,PS Kemi,1512.0,1490.1
2017-162,FC Inter,FC Lahti,1429.9,1544.2
2017-163,PS Kemi,VPS,1483.7,1438.7
2017-164,FC Lahti,RoPS,1537.0,1469.8
2017-165,KuPS,HIFK,1557.3,1446.9
2017-166,JJK,FC Inter,1468.1,1451.4
2017-167,HJK,IFK Mariehamn,1601.7,1504.2
2017-168,SJK,Ilves,1529.3,1511.8
2017-169,FC Inter,KuPS,1436.6,1572.0
2017-17,VPS,KuPS,1440.2,1570.6
2017-170,VPS,HIFK,1421.2,1465.8
2017-171,HJK,PS Kemi,1608.4,1477.1
2017-172,Ilves,FC Lahti,1523.6,1525.2
2017-173,RoPS,JJK,1480.5,1457.4
2017-174,IFK Mariehamn,SJK,1516.0,1517.5
2017-175,FC Lahti,IFK Mariehamn,1505.6,1535.6
2017-176,HIFK,PS Kemi,1477.1,1465.8
2017-177,JJK,Ilves,1455.9,1525.0
2017-178,KuPS,RoPS,1563.1,1488.0
2017-179,VPS,FC Inter,1417.7,1440.2
2017-18,JJK,HJK,1443.1,1621.1
2017-180,SJK,HJK,1502.7,1636.0
2017-181,Ilves,KuPS,1537.4,1550.8
2017-182,PS Kemi,SJK,1463.1,1505.4
2017-183,RoPS,VPS,1496.2,1409.5
2017-184,FC Inter,HIFK,1452.5,1464.8
2017-185,HJK,FC Lahti,1642.3,1499.3
2017-186,JJK,IFK Mariehamn,1457.8,1520.9
2017-187,FC Inter,HJK,1441.3,1653.5
2017-188,HIFK,SJK,1462.2,1507.9
2017-189,Ilves,PS Kemi,1545.4,1455.1
2017-19,HIFK,FC Lahti,1444.6,1517.0
2017-190,KuPS,JJK,1558.2,1450.4
2017-191,RoPS,IFK Mariehamn,1478.0,1539.1
2017-192,VPS,FC Lahti,1424.8,1501.7
2017-193,FC Lahti,HIFK,1510.3,1435.9
2017-194,HJK,RoPS,1628.6,1502.9
2017-195,IFK Mariehamn,Ilves,1520.2,1564.4
2017-196,JJK,VPS,1460.2,1415.0
2017-197,PS Kemi,KuPS,1440.2,1573.1
2017-198,SJK,FC Inter,1516.2,1433.0
2017-2,SJK,FC Lahti,1511.8,1514.8
2017-20,SJK,HIFK,1504.8,1442.9
2017-21,FC Lahti,JJK,1508.5,1466.5
2017-22,HJK,FC Inter,1618.2,1443.4
2017-23,KuPS,Ilves,1553.5,1583.9
2017-24,RoPS,PS Kemi,1511.3,1431.8
2017-25,IFK Mariehamn,VPS,1512.2,1423.0
2017-26,FC Lahti,SJK,1519.2,1494.1
2017-27,Ilves,IFK Mariehamn,1592.1,1504.1
2017-28,JJK,FC Inter,1446.4,1463.5
2017-29,PS Kemi,KuPS,1417.7,1567.6
2017-3,IFK Mariehamn,JJK,1512.7,1437.7
2017-30,VPS,HJK,1442.0,1599.2
2017-31,HIFK,RoPS,1456.6,1497.7
2017-32,HJK,Ilves,1609.7,1581.6
2017-33,FC Inter,VPS,1443.4,1462.0
2017-34,IFK Mariehamn,PS Kemi,1520.1,1410.3
2017-35,KuPS,HIFK,1574.5,1449.7
2017-36,RoPS,FC Lahti,1509.4,1507.5
2017-37,SJK,JJK,1502.8,1429.1
2017-38,PS Kemi,HJK,1399.5,1620.5
2017-39,FC Lahti,KuPS,1491.1,1590.9
2017-4,Ilves,FC Lahti,1574.1,1498.6
2017-40,HIFK,IFK Mariehamn,1448.4,1521.4
2017-41,Ilves,FC Inter,1550.4,1467.1
2017-42,JJK,VPS,1411.2,1479.9
2017-43,SJK,RoPS,1513.9,1498.3
2017-44,FC Inter,PS Kemi,1445.4,1421.2
2017-45,HIFK,HJK,1451.5,1617.4
2017-46,IFK Mariehamn,FC Lahti,1501.3,1518.7
2017-47,KuPS,SJK,1583.8,1520.9
2017-48,RoPS,JJK,1505.9,1403.6
2017-49,VPS,Ilves,1463.6,1566.6
2017-5,PS Kemi,HIFK,1418.3,1454.5
2017-50,FC Lahti,HJK,1518.6,1617.5
2017-51,HIFK,FC Inter,1434.9,1465.0
2017-52,PS Kemi,VPS,1400.9,1480.9
2017-53,JJK,Ilves,1421.3,1548.9
2017-54,RoPS,KuPS,1490.0,1599.8
2017-55,SJK,IFK Mariehamn,1515.9,1506.2
2017-56,FC Inter,FC Lahti,1463.0,1520.6
2017-57,HJK,SJK,1624.7,1508.8
2017-58,IFK Mariehamn,RoPS,1516.4,1479.8
2017-59,Ilves,PS Kemi,1524.7,1425.1
2017-6,VPS,SJK,1462.9,1526.9
2017-60,JJK,KuPS,1424.6,1596.5
2017-61,VPS,HIFK,1457.6,1440.2
2017-62,FC Lahti,VPS,1514.0,1464.1
2017-63,PS Kemi,JJK,1420.9,1428.8
2017-64,SJK,FC Inter,1505.3,1484.6
2017-65,HIFK,Ilves,1424.5,1540.4
2017-66,KuPS,IFK Mariehamn,1574.3,1538.5
2017-67,RoPS,HJK,1466.7,1637.7
2017-68,HIFK,SJK,1408.7,1521.1
2017-69,KuPS,VPS,1566.2,1472.2
2017-7,HJK,KuPS,1645.9,1558.1
2017-70,PS Kemi,IFK Mariehamn,1436.7,1522.8
2017-71,HJK,JJK,1650.0,1424.7
2017-72,FC Lahti,Ilves,1510.9,1543.5
2017-73,HIFK,PS Kemi,1390.6,1454.7
2017-74,RoPS,FC Inter,1478.3,1473.1
2017-75,SJK,VPS,1500.0,1493.3
2017-76,IFK Mariehamn,JJK,1530.0,1417.4
2017-77,KuPS,HJK,1542.7,1665.4
2017-78,FC Inter,KuPS,1471.8,1544.0
2017-79,JJK,HIFK,1397.2,1410.9
2017-8,FC Inter,RoPS,1482.8,1467.2
2017-80,PS Kemi,FC Lahti,1452.8,1512.8
2017-81,HJK,IFK Mariehamn,1671.5,1523.9
2017-82,Ilves,SJK,1552.7,1490.9
2017-83,VPS,RoPS,1503.1,1457.4
2017-84,RoPS,Ilves,1472.2,1537.9
2017-85,SJK,PS Kemi,1500.2,1443.5
2017-86,FC Lahti,HIFK,1519.9,1403.7
2017-87,IFK Mariehamn,FC Inter,1533.1,1473.6
2017-88,PS Kemi,RoPS,1440.5,1475.3
2017-89,Ilves,KuPS,1548.9,1533.0
2017-9,SJK,Ilves,1483.0,1566.1
2017-90,JJK,FC Lahti,1383.1,1533.9
2017-91,FC Inter,HJK,1477.7,1667.4
2017-92,VPS,IFK Mariehamn,1500.1,1536.1
2017-93,FC Lahti,PS Kemi,1541.4,1433.1
2017-94,IFK Mariehamn,Ilves,1533.1,1569.1
2017-95,FC Inter,JJK,1485.1,1375.8
2017-96,KuPS,PS Kemi,1540.2,1425.8
2017-97,RoPS,HIFK,1468.4,1410.6
2017-98,FC Lahti,RoPS,1534.5,1475.3
2017-99,Ilves,HJK,1569.0,1667.5
