date,home_team,away_team,home_elo,away_elo
2021-1,HJK,FC Honka,1510.8,1489.2
2021-10,SJK,HIFK,1495.8,1504.2
2021-100,AC Oulu,FC Lahti,1495.8,1504.2
2021-101,HJK,KuPS,1506.2,1504.6
2021-102,IFK Mariehamn,Ilves,1510.8,1489.2
2021-103,KTP,FC Inter,1480.8,1519.2
2021-104,IFK Mariehamn,KuPS,1491.4,1524.1
2021-105,HIFK,SJK,1514.7,1485.3
2021-106,FC Haka,IFK Mariehamn,1480.5,1510.9
2021-107,FC Honka,KTP,1499.7,1470.3
2021-108,FC Inter,HJK,1499.5,1525.9
2021-109,HIFK,AC Oulu,1524.7,1485.7
2021-11,FC Inter,FC Haka,1509.5,1470.4
2021-110,Ilves,FC Lahti,1500.6,1492.8
2021-111,KuPS,SJK,1533.4,1476.0
2021-112,Ilves,HIFK,1512.4,1513.0
2021-113,KTP,SJK,1451.4,1495.0
2021-114,HIFK,IFK Mariehamn,1493.7,1530.2
2021-115,FC Haka,Ilves,1452.9,1529.9
2021-116,FC Lahti,AC Oulu,1488.3,1490.2
2021-117,KTP,KuPS,1435.6,1549.2
2021-118,SJK,FC Inter,1491.4,1513.2
2021-119,FC Honka,HJK,1496.5,1529.0
2021-12,IFK Mariehamn,AC Oulu,1539.4,1481.0
2021-120,FC Haka,SJK,1465.3,1479.0
2021-121,FC Honka,KuPS,1479.5,1566.2
2021-122,FC Inter,AC Oulu,1522.7,1471.4
2021-123,HJK,HIFK,1508.5,1514.2
2021-124,Ilves,IFK Mariehamn,1541.0,1528.3
2021-125,KTP,FC Lahti,1418.6,1505.3
2021-126,AC Oulu,FC Haka,1452.0,1484.7
2021-127,HJK,FC Inter,1489.8,1541.3
2021-128,IFK Mariehamn,KTP,1535.2,1411.6
2021-129,Ilves,FC Honka,1534.5,1486.0
2021-13,FC Lahti,KuPS,1488.7,1582.9
2021-130,KuPS,HIFK,1576.1,1521.0
2021-131,SJK,FC Lahti,1490.2,1477.5
2021-132,FC Haka,HIFK,1497.0,1508.7
2021-14,Ilves,HJK,1513.6,1510.7
2021-15,FC Haka,KTP,1474.7,1434.0
2021-16,FC Honka,FC Inter,1469.1,1558.3
2021-17,KuPS,IFK Mariehamn,1585.3,1525.9
2021-18,AC Oulu,SJK,1434.3,1507.8
2021-19,HIFK,Ilves,1504.7,1517.6
2021-2,FC Inter,KuPS,1570.2,1573.4
2021-20,HJK,FC Lahti,1520.3,1468.0
2021-21,FC Inter,KTP,1576.3,1427.8
2021-22,FC Lahti,FC Honka,1478.8,1458.2
2021-23,SJK,HJK,1489.1,1539.0
2021-24,Ilves,KuPS,1530.7,1560.3
2021-25,AC Oulu,HIFK,1418.0,1521.0
2021-26,IFK Mariehamn,FC Haka,1504.8,1495.8
2021-27,HJK,AC Oulu,1545.5,1411.5
2021-28,Ilves,KTP,1537.8,1420.7
2021-29,FC Honka,SJK,1440.3,1507.1
2021-3,KuPS,HJK,1555.6,1550.3
2021-30,HIFK,FC Inter,1504.1,1593.2
2021-31,KuPS,FC Haka,1534.1,1517.3
2021-32,IFK Mariehamn,FC Lahti,1484.6,1499.0
2021-33,FC Inter,IFK Mariehamn,1600.1,1477.6
2021-34,FC Haka,HJK,1499.4,1568.2
2021-35,FC Lahti,Ilves,1511.4,1525.5
2021-36,KTP,HIFK,1405.0,1519.8
2021-37,SJK,KuPS,1489.0,1552.2
2021-38,AC Oulu,FC Honka,1393.4,1458.3
2021-39,IFK Mariehamn,HJK,1462.2,1583.6
2021-4,AC Oulu,Ilves,1379.8,1539.1
2021-40,KuPS,FC Inter,1565.0,1587.4
2021-41,SJK,Ilves,1501.8,1526.2
2021-42,HIFK,FC Honka,1528.3,1449.8
2021-43,FC Haka,FC Lahti,1495.7,1515.1
2021-44,KTP,AC Oulu,1384.8,1400.0
