date,home_team,away_team,home_elo,away_elo
2020-1,FC Haka,FC Honka,1495.8,1504.2
2020-10,HJK,FC Haka,1510.6,1485.2
2020-100,Ilves,TPS,1510.8,1489.2
2020-101,FC Inter,FC Lahti,1510.8,1489.2
2020-102,HJK,RoPS,1521.0,1489.6
2020-103,SJK,HIFK,1510.8,1489.2
2020-104,FC Lahti,IFK Mariehamn,1500.4,1488.8
2020-105,HIFK,FC Honka,1485.6,1507.8
2020-106,KuPS,Ilves,1496.2,1514.6
2020-107,KuPS,HIFK,1506.6,1475.2
2020-108,RoPS,FC Lahti,1470.9,1519.2
2020-109,FC Honka,IFK Mariehamn,1517.9,1478.7
2020-11,IFK Mariehamn,FC Honka,1476.1,1520.5
2020-110,FC Inter,KuPS,1521.4,1496.0
2020-111,HIFK,Ilves,1457.6,1532.2
2020-112,SJK,HJK,1492.0,1539.8
2020-113,FC Haka,TPS,1496.1,1478.2
2020-114,HJK,HIFK,1547.6,1449.8
2020-115,IFK Mariehamn,SJK,1457.6,1510.6
2020-116,Ilves,FC Inter,1512.5,1541.1
2020-117,KuPS,FC Honka,1477.8,1538.7
2020-118,FC Lahti,FC Haka,1514.1,1501.2
2020-119,TPS,RoPS,1488.7,1460.3
2020-12,RoPS,HIFK,1440.7,1469.5
2020-120,HIFK,RoPS,1479.1,1431.0
2020-121,FC Honka,FC Lahti,1548.5,1504.3
2020-122,FC Inter,TPS,1549.9,1479.9
2020-123,KuPS,FC Haka,1459.5,1519.5
2020-124,SJK,Ilves,1491.4,1531.7
2020-125,TPS,SJK,1491.2,1480.2
2020-126,IFK Mariehamn,HJK,1442.1,1563.0
2020-127,FC Haka,IFK Mariehamn,1497.4,1464.2
2020-128,FC Lahti,HIFK,1514.1,1469.3
2020-129,HJK,FC Inter,1558.3,1554.6
2020-13,FC Inter,Ilves,1564.5,1521.8
2020-130,Ilves,FC Honka,1533.6,1536.6
2020-131,RoPS,SJK,1413.9,1497.4
2020-132,TPS,KuPS,1500.8,1449.9
2020-14,FC Honka,KuPS,1529.3,1457.3
2020-15,FC Inter,HJK,1575.0,1547.7
2020-16,Ilves,KuPS,1526.6,1464.3
2020-17,RoPS,FC Haka,1413.2,1498.1
2020-18,SJK,IFK Mariehamn,1476.9,1484.7
2020-19,FC Honka,TPS,1539.0,1491.1
2020-2,FC Lahti,HJK,1496.2,1565.6
2020-20,HIFK,FC Lahti,1451.2,1514.4
2020-21,RoPS,Ilves,1413.7,1526.0
2020-22,FC Honka,FC Inter,1536.2,1577.8
2020-23,HIFK,SJK,1463.1,1465.0
2020-24,IFK Mariehamn,FC Haka,1481.0,1501.8
2020-25,KuPS,FC Lahti,1477.2,1501.5
2020-26,TPS,HJK,1475.0,1581.7
2020-27,TPS,FC Lahti,1456.8,1519.6
2020-28,HJK,Ilves,1590.4,1517.3
2020-29,FC Honka,RoPS,1542.7,1407.2
2020-3,HIFK,KuPS,1444.4,1495.8
2020-30,FC Haka,FC Inter,1485.8,1593.8
2020-31,IFK Mariehamn,HIFK,1460.4,1465.0
2020-32,KuPS,SJK,1505.4,1455.4
2020-33,FC Inter,IFK Mariehamn,1600.0,1454.2
2020-34,HJK,KuPS,1583.1,1512.7
2020-35,Ilves,HIFK,1511.2,1471.2
2020-36,RoPS,TPS,1390.1,1474.0
2020-37,SJK,FC Haka,1452.5,1488.7
2020-38,FC Lahti,FC Honka,1516.4,1546.0
2020-39,FC Haka,HIFK,1468.8,1491.1
2020-4,Ilves,IFK Mariehamn,1519.8,1445.5
2020-40,IFK Mariehamn,FC Inter,1462.9,1582.7
2020-41,Ilves,RoPS,1526.1,1383.7
2020-42,SJK,KuPS,1450.8,1514.4
2020-43,HJK,FC Lahti,1576.4,1523.1
2020-44,TPS,FC Honka,1457.8,1562.2
2020-45,RoPS,IFK Mariehamn,1367.8,1478.8
2020-46,FC Inter,FC Haka,1589.5,1462.1
2020-47,FC Lahti,Ilves,1534.0,1515.2
2020-48,KuPS,HJK,1497.8,1593.0
2020-49,FC Honka,SJK,1554.1,1458.9
2020-5,SJK,TPS,1469.7,1447.0
2020-50,HIFK,TPS,1500.2,1437.9
2020-51,FC Haka,KuPS,1444.3,1515.5
2020-52,FC Inter,HIFK,1597.0,1492.7
2020-53,FC Lahti,RoPS,1539.3,1362.5
2020-54,HJK,FC Honka,1587.3,1559.8
2020-55,Ilves,SJK,1509.3,1475.6
2020-56,IFK Mariehamn,TPS,1488.0,1428.7
2020-57,FC Haka,HJK,1431.2,1600.5
2020-58,RoPS,FC Inter,1353.0,1606.5
2020-59,SJK,FC Honka,1459.9,1575.5
2020-6,FC Inter,RoPS,1610.0,1349.6
2020-60,TPS,FC Inter,1447.1,1591.5
2020-61,Ilves,FC Lahti,1521.3,1527.3
2020-62,KuPS,IFK Mariehamn,1525.3,1478.3
2020-63,RoPS,HJK,1340.7,1609.3
2020-64,HIFK,FC Haka,1471.2,1452.7
2020-65,FC Haka,FC Lahti,1451.6,1528.4
2020-66,HJK,SJK,1615.1,1454.2
2020-67,IFK Mariehamn,RoPS,1484.4,1334.6
2020-68,TPS,HIFK,1458.9,1459.4
2020-69,SJK,RoPS,1460.8,1328.0
2020-7,KuPS,FC Inter,1538.8,1578.0
2020-70,KuPS,TPS,1546.7,1451.1
2020-71,HJK,IFK Mariehamn,1621.4,1478.1
2020-72,FC Lahti,FC Inter,1526.2,1580.1
2020-73,FC Haka,Ilves,1435.3,1537.6
2020-74,FC Honka,HIFK,1552.2,1482.7
2020-75,FC Honka,Ilves,1562.4,1527.4
2020-76,IFK Mariehamn,FC Lahti,1475.9,1528.4
2020-77,KuPS,RoPS,1550.8,1323.9
2020-78,SJK,FC Inter,1476.6,1564.3
2020-79,TPS,FC Haka,1431.2,1455.1
2020-8,TPS,Ilves,1416.1,1542.5
2020-80,HIFK,HJK,1499.3,1604.7
2020-81,FC Haka,SJK,1436.8,1494.9
2020-82,RoPS,FC Honka,1314.6,1571.7
2020-83,Ilves,HJK,1525.9,1621.3
2020-84,TPS,IFK Mariehamn,1414.3,1477.6
2020-85,FC Lahti,KuPS,1510.1,1569.1
2020-86,HIFK,FC Inter,1497.8,1565.8
2020-87,FC Lahti,TPS,1502.5,1422.0
2020-88,FC Inter,SJK,1544.0,1516.8
2020-89,HIFK,IFK Mariehamn,1492.8,1482.6
2020-9,FC Lahti,SJK,1498.9,1520.4
2020-90,Ilves,FC Haka,1518.5,1444.2
2020-91,FC Honka,HJK,1569.5,1623.5
2020-92,RoPS,KuPS,1305.8,1577.8
2020-93,FC Haka,RoPS,1420.3,1329.8
2020-94,FC Inter,FC Honka,1540.8,1572.7
2020-95,IFK Mariehamn,Ilves,1464.8,1536.2
2020-96,SJK,FC Lahti,1500.3,1518.9
2020-97,HJK,TPS,1613.0,1432.5
2020-98,FC Honka,FC Haka,1548.4,1444.6
2020-99,IFK Mariehamn,KuPS,1450.4,1592.3
